[17:21:29] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:21:29] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:21:33] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:21:33] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:21:38] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:21:38] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:21:42] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:21:42] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:21:47] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:21:47] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:21:51] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:21:51] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:21:55] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:21:55] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:21:59] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:21:59] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:10] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:10] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:14] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:14] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:19] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:19] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:24] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:24] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:28] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:28] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:32] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:32] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:37] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
